Date,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit
2023-01-02,35000,24000,37900,47500
2023-01-03,35000,24000,37900,47500
2023-01-04,35000,24000,37900,42500
2023-01-05,35000,24000,33500,39650
2023-01-06,35000,24000,33150,38500
2023-01-09,35000,24250,35250,41000
2023-01-10,35000,25000,35250,41000
2023-01-11,35000,25000,35250,39150
2023-01-12,35000,26500,35900,42250
2023-01-13,35000,26500,33900,41650
2023-01-16,35000,26500,33900,36250
2023-01-17,35000,26500,33900,36250
2023-01-18,35000,26500,33900,36250
2023-01-19,35000,26500,33900,36250
2023-01-20,35000,26500,33000,35900
2023-01-23,35000,26500,33000,35900
2023-01-24,35000,26500,32500,40250
2023-01-25,36500,26500,32500,40000
2023-01-26,38000,26500,32500,40650
2023-01-27,45000,26500,33250,38500
2023-01-30,45000,26750,33250,38500
2023-01-31,45000,26750,33250,36650
2023-02-01,45000,26750,33250,36250
2023-02-02,45000,27250,33250,36250
2023-02-03,45000,27750,33000,35400
2023-02-06,45000,27750,37750,42400
2023-02-07,45000,27750,39650,44150
2023-02-08,45000,27750,40000,45000
2023-02-09,45750,28000,40000,45400
2023-02-10,41750,28000,41900,45400
2023-02-13,41750,28000,42750,45400
2023-02-14,41750,28000,42750,45400
2023-02-15,36750,28000,42750,45400
2023-02-16,36750,28000,44000,47900
2023-02-17,35000,28000,44000,47900
2023-02-20,35000,28000,41650,47900
2023-02-21,33500,28000,40650,46900
2023-02-22,33500,29000,43900,48400
2023-02-23,33500,30250,47500,50150
2023-02-24,33500,30250,47500,50150
2023-02-27,33500,30250,38500,41400
2023-02-28,33500,30750,36250,41000
2023-03-01,33500,30750,35750,40000
2023-03-02,33500,30750,36650,42500
2023-03-03,33500,30750,36650,42500
2023-03-06,33500,30750,37650,46650
2023-03-07,33000,30750,39250,46650
2023-03-08,33000,32250,45750,51900
2023-03-09,33000,32250,49500,51900
2023-03-10,33000,32250,42250,50500
2023-03-13,33000,32250,42250,50500
2023-03-14,33500,32250,37500,47900
2023-03-15,35000,33750,37500,47650
2023-03-16,35000,33750,37500,47650
2023-03-17,35000,33750,35000,46400
2023-03-20,35000,33750,40000,47400
2023-03-21,35000,31750,40000,47400
2023-03-22,35000,31750,40000,47400
2023-03-23,35000,31750,40000,47400
2023-03-24,35000,31750,35500,47900
2023-03-27,35000,32250,35500,42400
2023-03-28,35000,32250,30650,36750
2023-03-29,35000,32250,26000,28150
2023-03-30,35000,32250,26000,30000
2023-03-31,35000,32250,25750,31900
2023-04-03,35000,31750,26250,31900
2023-04-04,35000,31750,26000,30250
2023-04-05,33000,31750,24900,29750
2023-04-06,33000,31750,22150,25500
2023-04-07,33000,31750,22150,25500
2023-04-10,33000,31750,22150,22250
2023-04-11,33500,30750,22150,20400
2023-04-12,33500,30750,22150,19150
2023-04-13,33500,30750,22150,19150
2023-04-14,33500,30750,22150,19150
2023-04-17,33500,30750,29650,24400
2023-04-18,33500,30750,38400,28000
2023-04-19,33500,30750,38400,28000
2023-04-20,33500,30750,38400,28000
2023-04-21,33500,30750,38400,28000
2023-04-24,33500,30750,38400,28000
2023-04-25,33500,30750,38400,28000
2023-04-26,39750,30750,35650,26400
2023-04-27,42500,33500,26250,19000
2023-04-28,42500,33500,26250,19000
2023-05-01,42500,33500,26250,19000
2023-05-02,42500,33500,23650,17250
2023-05-03,42500,33500,22750,17250
2023-05-04,42500,32500,22750,17250
2023-05-05,42500,32500,22750,17250
2023-05-08,43250,33750,22750,18650
2023-05-09,43250,33750,27750,22400
2023-05-10,43250,33750,27750,22400
2023-05-11,43250,33750,27500,21650
2023-05-12,43250,33750,29650,21650
2023-05-15,43250,33750,29650,22650
2023-05-16,41250,33750,28250,22650
2023-05-17,41250,33750,28250,24750
2023-05-18,41250,33750,28250,24750
2023-05-19,41250,33750,30400,24750
2023-05-22,41250,33750,30400,24750
2023-05-23,41250,33750,30400,27150
2023-05-24,41250,33750,27150,27650
2023-05-25,41250,33750,26250,27650
2023-05-26,41250,33750,25650,27400
2023-05-29,41250,33750,25650,29250
2023-05-30,40750,33750,26500,29750
2023-05-31,40750,33750,26500,29900
2023-06-01,40750,33750,26500,29900
2023-06-02,40750,33750,26500,29900
2023-06-05,40750,33750,27500,29900
2023-06-06,40750,33750,27500,29900
2023-06-07,40750,33750,27500,29900
2023-06-08,40750,33750,27500,27900
2023-06-09,40750,33750,27500,27900
2023-06-12,40750,33750,27900,28500
2023-06-13,42000,33750,27900,29900
2023-06-14,42000,33750,27500,29400
2023-06-15,42000,33750,26900,27500
2023-06-16,42000,33750,27500,27150
2023-06-19,42000,33750,25750,23000
2023-06-20,42000,33750,25750,21150
2023-06-21,42000,33750,25750,21750
2023-06-22,42000,33750,26400,23400
2023-06-23,42000,33750,26000,23650
2023-06-26,42000,33750,32900,23900
2023-06-27,42000,33750,33150,24400
2023-06-28,42000,33750,33150,24400
2023-06-29,42000,33750,33150,24400
2023-06-30,42000,33750,33150,24400
2023-07-03,42000,37000,29650,23500
2023-07-04,42000,37000,28750,21500
2023-07-05,42000,40000,28750,21500
2023-07-06,42000,40000,28150,20400
2023-07-07,42000,40000,25000,18750
2023-07-10,38250,40500,27900,17650
2023-07-11,37000,40500,27900,17650
2023-07-12,36000,40500,27250,17650
2023-07-13,36000,40500,28250,17250
2023-07-14,32250,40250,29750,18000
2023-07-17,32250,39500,29750,18000
2023-07-18,32250,39500,30900,19500
2023-07-19,32250,39500,30900,19500
2023-07-20,30750,44750,31400,22750
2023-07-21,30750,47000,31400,22750
2023-07-24,30750,47000,30750,21250
2023-07-25,30750,40500,31400,22250
2023-07-26,28250,40000,28900,23400
2023-07-27,28250,40000,29750,23900
2023-07-28,28250,40000,26250,23650
2023-07-31,28250,37250,26250,23650
2023-08-01,28250,37250,26250,26250
2023-08-02,28750,37250,28150,27500
2023-08-03,28750,36750,29000,28000
2023-08-04,28750,36750,29400,30000
2023-08-07,28750,36750,30650,31150
2023-08-08,28750,36000,30650,31650
2023-08-09,28750,35750,30650,30900
2023-08-10,28750,35750,30650,30900
2023-08-11,28750,35500,30250,30650
2023-08-14,28750,35500,32750,30650
2023-08-15,28000,35250,32750,33150
2023-08-16,28000,35250,32750,33150
2023-08-17,28000,35250,32750,33150
2023-08-18,26250,35250,33400,33500
2023-08-21,26250,35250,31650,35750
2023-08-22,26250,35250,32750,35750
2023-08-23,25000,35250,33500,36750
2023-08-24,25000,37250,35500,35900
2023-08-25,25000,37250,38900,35900
2023-08-28,25000,37250,38900,31650
2023-08-29,25000,37250,38900,28750
2023-08-30,25000,37250,39150,25750
2023-08-31,25000,37250,39150,25750
2023-09-01,25000,37250,37500,22650
2023-09-04,25000,37250,33650,22650
2023-09-05,25000,37250,32250,22650
2023-09-06,23750,36250,31500,22650
2023-09-07,23750,36250,30400,22650
2023-09-08,23750,36250,30400,20900
2023-09-11,23750,35500,29150,21750
2023-09-12,23750,35250,27400,21750
2023-09-13,23750,35250,27400,23000
2023-09-14,23750,35250,26500,23750
2023-09-15,23750,35250,24000,21900
2023-09-18,23750,35250,24000,21900
2023-09-19,23750,35250,26400,22400
2023-09-20,23250,35250,26400,22400
2023-09-21,23250,35250,26900,22400
2023-09-22,23250,35250,26650,22000
2023-09-25,21750,35250,28250,23150
2023-09-26,21750,35250,29000,24900
2023-09-27,21750,35250,29750,24900
2023-09-28,21750,35250,29750,24900
2023-09-29,21750,35250,31650,25750
2023-10-02,22750,35250,35500,28150
2023-10-03,23500,36000,35500,28400
2023-10-04,25000,36000,36500,29500
2023-10-05,25000,36000,36500,30750
2023-10-06,25000,36000,35900,31900
2023-10-09,24250,35000,36000,37000
2023-10-10,24250,35000,36400,38000
2023-10-11,23750,34750,36400,40250
2023-10-12,23750,34750,37000,40900
2023-10-13,23750,34750,37000,41250
2023-10-16,23750,35000,40250,43650
2023-10-17,23750,35000,41250,47900
2023-10-18,23750,35000,42250,48500
2023-10-19,23000,35000,42250,50250
2023-10-20,23000,35000,43900,50500
2023-10-23,21500,34500,43900,52250
2023-10-24,21500,34250,43900,52250
2023-10-25,21500,34250,44750,52250
2023-10-26,21500,34250,46250,54250
2023-10-27,21500,34250,47400,55250
2023-10-30,21500,34250,53750,60000
2023-10-31,21500,34250,60900,64150
2023-11-01,21500,34250,60000,61900
2023-11-02,21500,34250,62500,62500
2023-11-03,21500,34250,66250,63150
2023-11-06,24500,34250,66900,63150
2023-11-07,24500,34250,66900,63750
2023-11-08,27750,34250,66900,62500
2023-11-09,27750,34250,69400,65650
2023-11-10,27750,34250,69400,66900
2023-11-13,28000,34250,71250,66900
2023-11-14,28000,34250,70250,66900
2023-11-15,28000,34250,70900,68150
2023-11-16,29500,34250,70900,68150
2023-11-17,29500,34250,69000,67250
2023-11-20,29500,34250,69000,73150
2023-11-21,29500,34250,69900,75000
2023-11-22,29500,34250,69900,76000
2023-11-23,29750,34250,70500,76000
2023-11-24,29750,34250,70500,76750
2023-11-27,29750,34250,68650,73750
2023-11-28,29750,34250,68650,71150
2023-11-29,29750,34250,68150,70250
2023-11-30,29750,34250,65650,70000
2023-12-01,29750,34250,66250,70000
2023-12-04,29750,34250,69000,71650
2023-12-05,29750,34250,69650,70000
2023-12-06,29750,34250,70750,70000
2023-12-07,31500,34250,71000,69000
2023-12-08,31500,34250,71000,69000
2023-12-11,31000,35000,76650,66900
2023-12-12,31000,35000,75250,66000
2023-12-13,31000,35000,74650,64400
2023-12-14,31000,35000,72400,64150
2023-12-15,31000,37250,72400,64150
2023-12-18,31000,37250,72400,59750
2023-12-19,31000,38250,66000,59750
2023-12-20,31000,39250,66000,59750
2023-12-21,31000,39250,64000,58150
2023-12-22,33750,39250,64000,58150
2023-12-25,33750,39250,64000,58150
2023-12-26,33750,39250,64000,58150
2023-12-27,38750,44500,65150,58150
2023-12-28,39500,44500,65650,58150
2023-12-29,39500,44500,65650,58150
2024-01-01,39500,44500,65650,58150
2024-01-02,39500,44500,70000,64400
2024-01-03,39500,44500,70000,64400
2024-01-04,39500,44500,61250,55150
2024-01-05,40000,44500,61250,50250
2024-01-08,40000,44500,53000,42500
2024-01-09,40000,43250,51750,42500
2024-01-10,40000,43250,50750,41250
2024-01-11,40000,43250,50750,39400
2024-01-12,37500,42000,50400,39400
2024-01-15,36000,40000,50400,39400
2024-01-16,36000,40000,55000,36400
2024-01-17,35500,40000,55000,36400
2024-01-18,35500,40000,55000,33900
2024-01-19,35500,40000,55000,31650
2024-01-22,34250,40000,59150,31650
2024-01-23,33000,40000,60400,31000
2024-01-24,33000,37250,60400,31650
2024-01-25,33000,37250,63150,30000
2024-01-26,33000,40250,63150,29400
2024-01-29,33000,40250,63150,26900
2024-01-30,30000,40250,63150,28900
2024-01-31,30000,40250,60650,33400
2024-02-01,30000,40250,60650,33400
2024-02-02,30000,40250,56900,33400
2024-02-05,30000,40250,58750,33400
2024-02-06,30000,40250,58750,33400
2024-02-07,30000,40250,62250,33750
2024-02-08,30000,40250,62250,33750
2024-02-09,30000,40250,62250,33750
2024-02-12,30000,40250,71250,39650
2024-02-13,30000,40250,71250,40900
2024-02-14,30000,40250,71250,40900
2024-02-15,30000,40250,72750,44500
2024-02-16,30000,40250,72500,45250
2024-02-19,30000,41000,78150,50250
2024-02-20,30000,41000,80000,52750
2024-02-21,30000,41000,81250,54650
2024-02-22,30000,41000,82900,54650
2024-02-23,30000,41000,82900,56750
2024-02-26,30000,41000,82900,49150
2024-02-27,30000,41000,82900,47250
2024-02-28,30000,41000,82900,47250
2024-02-29,30000,41000,82900,47250
2024-03-01,30000,41000,78250,45000
2024-03-04,30000,41000,74400,42500
2024-03-05,30000,41000,74400,42500
2024-03-06,27500,41000,72750,41150
2024-03-07,27500,41000,68650,41150
2024-03-08,27500,41000,68650,42900
2024-03-11,27500,41000,68650,42900
2024-03-12,27500,41000,68650,42900
2024-03-13,33000,41500,64000,42900
2024-03-14,33000,41500,60900,42650
2024-03-15,33000,41500,60150,41650
2024-03-18,33000,41500,49250,34400
2024-03-19,33000,41500,45900,31400
2024-03-20,33000,41500,41150,30150
2024-03-21,33000,41500,41150,30150
2024-03-22,33000,41500,41150,30150
2024-03-25,33000,41500,38400,27400
2024-03-26,33000,41500,33750,23250
2024-03-27,33000,41500,33750,23250
2024-03-28,33000,41500,33750,22750
2024-03-29,33000,41500,33750,22750
2024-04-01,35750,41500,33750,24750
2024-04-02,35750,41500,35500,26250
2024-04-03,39500,41500,36000,26250
2024-04-04,40000,41500,37250,27500
2024-04-05,45000,42500,37250,27500
2024-04-08,45000,42500,37250,27500
2024-04-09,45000,42500,37250,27500
2024-04-10,45000,42500,37250,27500
2024-04-11,45000,42500,37250,27500
2024-04-12,45000,42500,37250,27500
2024-04-15,45000,42500,37250,27500
2024-04-16,55500,45500,40650,28400
2024-04-17,55500,45500,39900,27650
2024-04-18,55500,45500,37750,27650
2024-04-19,55500,45500,38000,27250
2024-04-22,67250,45500,35000,27000
2024-04-23,70000,45500,35000,27000
2024-04-24,70000,45500,36400,26400
2024-04-25,70000,45500,36400,26400
2024-04-26,67500,45500,37400,26400
2024-04-29,61250,44250,39900,23400
2024-04-30,61250,44250,41500,21900
2024-05-01,61250,44250,41500,21900
2024-05-02,61250,44250,42500,21900
2024-05-03,60000,44250,42500,21900
2024-05-06,58750,44250,38500,19400
2024-05-07,58750,44250,40750,19400
2024-05-08,58750,44250,40250,17900
2024-05-09,58750,44250,40250,17900
2024-05-10,58750,44250,40250,17900
2024-05-13,48750,44250,33900,17250
2024-05-14,48750,44250,33900,17250
2024-05-15,48750,44250,35000,19500
2024-05-16,48750,44250,36250,21400
2024-05-17,48750,44250,36250,21400
2024-05-20,50000,44250,38900,23500
2024-05-21,50000,44250,39000,24650
2024-05-22,50000,44250,39900,24650
2024-05-23,50000,44250,39900,24650
2024-05-24,50000,44250,39900,24650
2024-05-27,48750,43500,36750,21250
2024-05-28,48750,43500,36750,21250
2024-05-29,48750,43500,35500,21400
2024-05-30,48750,43500,35500,21400
2024-05-31,48750,43500,39400,21750
2024-06-03,48750,43500,41650,22400
2024-06-04,48750,43500,42500,24000
2024-06-05,48750,43500,42500,24250
2024-06-06,45000,43500,42500,24250
2024-06-07,45000,43500,43000,24400
2024-06-10,42500,43500,45500,27500
2024-06-11,42500,43500,46250,27900
2024-06-12,42500,43500,46650,28750
2024-06-13,41250,43500,47150,29150
2024-06-14,40750,42500,47150,30750
2024-06-17,40750,42500,47150,30750
2024-06-18,40750,42500,47150,30750
2024-06-19,41250,42500,51500,32250
2024-06-20,41250,42500,51500,33150
2024-06-21,41250,42500,52250,33400
2024-06-24,40750,41000,43400,28900
2024-06-25,40750,41000,38400,26400
2024-06-26,40750,41000,36650,25750
2024-06-27,40750,41000,31650,22500
2024-06-28,40750,41000,30500,21750
2024-07-01,40750,40500,33000,24250
2024-07-02,40000,40000,33900,26400
2024-07-03,37500,40000,34500,27000
2024-07-04,36250,40000,37500,29750
2024-07-05,35000,40000,37500,29750
2024-07-08,35000,40000,41750,34750
2024-07-09,35000,40000,41750,36000
2024-07-10,35000,40000,41750,37150
2024-07-11,35000,40000,40900,37150
2024-07-12,32500,40000,40150,37500
2024-07-15,30000,40000,37500,39900
2024-07-16,30000,40000,37500,42250
2024-07-17,30000,40000,37500,45000
2024-07-18,30000,40000,37500,49500
2024-07-19,30000,40000,37500,51000
2024-07-22,26750,40000,36500,52250
2024-07-23,26750,40000,36250,52650
2024-07-24,25000,40000,35400,52900
2024-07-25,25000,40000,35400,51650
2024-07-26,24000,40000,33750,51650
2024-07-29,24000,40000,32750,50150
2024-07-30,24000,40000,31000,50150
2024-07-31,24000,40000,30750,48750
2024-08-01,24000,40000,32650,51250
2024-08-02,24000,40000,33150,51250
2024-08-05,24000,40000,35900,51250
2024-08-06,22500,40000,35900,51250
2024-08-07,22500,40000,37500,51250
2024-08-08,22500,40000,37500,51250
2024-08-09,22500,40000,36900,46000
2024-08-12,22500,40000,36900,43900
2024-08-13,22500,40000,37250,43650
2024-08-14,23000,40000,37900,43150
2024-08-15,23000,40000,36150,42650
2024-08-16,23000,40000,35750,42000
2024-08-19,23000,40000,32150,36900
2024-08-20,23000,40000,32150,35650
2024-08-21,23000,40000,32150,33750
2024-08-22,23000,40000,31900,32400
2024-08-23,22000,40000,31650,32150
2024-08-26,22000,40000,28150,26500
2024-08-27,22000,40000,26900,25250
2024-08-28,22000,40000,26900,24400
2024-08-29,22000,40000,26150,24150
2024-08-30,22000,40000,26000,22750
2024-09-02,24750,40000,25750,21900
2024-09-03,24750,40000,25150,21900
2024-09-04,24750,40000,25650,22400
2024-09-05,24750,40000,26500,22400
2024-09-06,24750,40000,27000,23000
2024-09-09,24750,40000,27150,24250
2024-09-10,24750,40000,27150,25000
2024-09-11,24750,40000,27150,25000
2024-09-12,24750,40000,25400,23400
2024-09-13,24750,39500,25400,23400
2024-09-16,24750,39500,25400,23400
2024-09-17,24750,39500,23500,23400
2024-09-18,24750,39500,23500,24900
2024-09-19,24750,39500,23500,26150
2024-09-20,24750,39500,24900,26150
2024-09-23,24750,39500,23750,26750
2024-09-24,25250,39500,23750,26750
2024-09-25,25500,39500,24400,27000
2024-09-26,25500,39500,24650,27400
2024-09-27,25500,39500,24650,27650
2024-09-30,26500,42000,22500,27400
2024-10-01,26750,42000,21500,27000
2024-10-02,26750,42000,20650,26500
2024-10-03,26750,42500,20000,26150
2024-10-04,26750,42500,20000,26900
2024-10-07,26750,42500,16900,28500
2024-10-08,26750,42500,14750,28750
2024-10-09,26750,42500,14750,29250
2024-10-10,26750,42500,14750,30150
2024-10-11,26750,42500,14500,30150
2024-10-14,27000,42500,18150,30900
2024-10-15,27000,42500,20000,32000
2024-10-16,27000,42500,21250,32750
2024-10-17,27000,42500,23150,32750
2024-10-18,27000,42500,24400,33250
2024-10-21,27000,42500,24750,34900
2024-10-22,27000,42500,22650,34900
2024-10-23,27000,42500,22650,36250
2024-10-24,27000,42500,23250,36250
2024-10-25,27000,42500,23900,36250
2024-10-28,29500,42500,22400,31500
2024-10-29,29500,42500,23750,31250
2024-10-30,29500,42500,23750,30500
2024-10-31,32000,42500,23650,27650
2024-11-01,32000,42500,23650,25150
2024-11-04,33750,40750,22150,22650
2024-11-05,34500,40750,21500,21000
2024-11-06,35750,41250,20400,20250
2024-11-07,36250,41750,20000,20650
2024-11-08,36250,41750,20000,20650
2024-11-11,36250,41750,20250,21900
2024-11-12,37500,42000,20250,22400
2024-11-13,37500,43000,20250,22750
2024-11-14,37500,43000,18150,22750
2024-11-15,40250,43000,17650,22750
2024-11-18,40250,43000,19750,22750
2024-11-19,40250,43000,20250,23150
2024-11-20,40250,43000,20250,21750
2024-11-21,40500,43000,20250,21150
2024-11-22,40500,43000,20250,20000
2024-11-25,41250,43000,18500,20000
2024-11-26,41250,43000,18500,18750
2024-11-27,41250,43000,18500,18750
2024-11-28,41250,43000,17000,18750
2024-11-29,41250,43000,19650,19750
2024-12-02,41250,43000,19650,17650
2024-12-03,41250,43000,19650,16750
2024-12-04,41250,42750,20500,17400
2024-12-05,42000,42750,20500,18150
2024-12-06,42000,42750,24250,21250
2024-12-09,42500,43250,25500,22000
2024-12-10,42500,43250,26750,22400
2024-12-11,42500,43500,30900,25650
2024-12-12,42500,43500,33150,27000
2024-12-13,42500,43500,35000,27500
2024-12-16,42500,43500,39400,30400
2024-12-17,42500,43500,39750,32000
2024-12-18,43500,43500,40750,33250
2024-12-19,43500,43500,42000,33650
2024-12-20,43500,43500,43150,34750
2024-12-23,43500,43500,47900,38500
2024-12-24,43500,43500,50000,38750
2024-12-25,43500,43500,50000,38750
2024-12-26,43500,43500,50000,38750
2024-12-27,43500,43500,55150,43500
2024-12-30,43000,43500,58750,46750
2024-12-31,43000,43500,60400,47400
